,Number of wrong bit(H=0.10),payoff(H=0.10),count(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),count(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),count(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),count(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),count(H=0.50),pure online,best price
0,0.0,19157.695000000007,20.0,0.0,19157.695000000007,20.0,0.0,19157.695000000007,20.0,0.0,19157.695000000007,20.0,0.0,19157.695000000007,20.0,12103.86,20789.019999999997
1,1.0,18424.281050000005,20.0,1.0,17806.478700000003,20.0,1.0,16949.354349999998,20.0,1.0,15707.757950000005,20.0,1.0,14252.456699999995,20.0,12103.86,20789.019999999997
2,2.0,17675.970750000004,20.0,2.0,16818.194050000002,20.0,2.0,15045.871099999998,20.0,2.0,13801.6329,20.0,2.0,12044.218499999992,11.0,12103.86,20789.019999999997
3,3.0,17091.3714,20.0,3.0,15778.897000000003,20.0,3.0,14069.402699999997,20.0,3.0,12738.778300000002,19.0,3.0,10937.228199999996,10.0,12103.86,20789.019999999997
4,,,,4.0,15198.303950000001,20.0,4.0,13280.014599999999,19.0,4.0,11944.913699999997,11.0,4.0,10378.164249999998,8.0,12103.86,20789.019999999997
5,,,,5.0,14843.54645,20.0,5.0,12569.448550000001,19.0,5.0,11593.124549999997,10.0,5.0,10039.193399999998,7.0,12103.86,20789.019999999997
6,,,,,,,6.0,12235.551749999999,15.0,6.0,11271.371799999997,7.0,6.0,9915.06965,2.0,12103.86,20789.019999999997
7,,,,,,,7.0,11900.307799999999,9.0,7.0,10845.710749999998,6.0,7.0,9604.31995,2.0,12103.86,20789.019999999997
8,,,,,,,8.0,11740.451649999999,5.0,8.0,10624.203849999998,2.0,8.0,9334.6156,2.0,12103.86,20789.019999999997
9,,,,,,,,,,9.0,10351.28935,3.0,9.0,9107.510649999998,2.0,12103.86,20789.019999999997
10,,,,,,,,,,10.0,10122.4833,2.0,10.0,8771.775149999998,2.0,12103.86,20789.019999999997
11,,,,,,,,,,,,,11.0,8588.183649999997,2.0,12103.86,20789.019999999997
12,,,,,,,,,,,,,12.0,8441.767849999998,2.0,12103.86,20789.019999999997
13,,,,,,,,,,,,,13.0,8349.864999999996,2.0,12103.86,20789.019999999997
