,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.50)
0,-0.14,1.1610915,1.1872490000000002,1.07988,1.07988,1.07988,1.1916200000000001
1,-0.13,1.1610915,1.1872490000000002,1.07988,1.07988,1.07988,1.1916200000000001
2,-0.12,1.1610915,1.1872490000000002,1.0944366666666667,1.0944366666666667,1.0944366666666667,1.1815433333333336
3,-0.11,1.1610915,1.1872490000000002,1.0984125,1.0984125,1.0984125,1.1675325
4,-0.1,1.1610915,1.1872490000000002,1.133662857142857,1.133662857142857,1.1367200000000002,1.1704828571428574
5,-0.09,1.1610915,1.1872490000000002,1.1455125000000002,1.1455125000000002,1.151535,1.1661199999999998
6,-0.08,1.1610915,1.1872490000000002,1.1455125000000002,1.1455125000000002,1.15571,1.1661199999999998
7,-0.07,1.1610915,1.1872490000000002,1.138582,1.138582,1.149215,1.1500160000000001
8,-0.06,1.1610915,1.1872490000000002,1.1445516666666666,1.1445516666666666,1.1572924999999998,1.1587008333333335
9,-0.05,1.1610915,1.1872490000000002,1.1451944444444444,1.1451944444444444,1.1569905555555553,1.150261666666667
10,-0.04,1.1610915,1.1872490000000002,1.144737,1.144737,1.1586600000000002,1.1466195000000001
11,-0.03,1.1610915,1.1872490000000002,1.144737,1.144737,1.1655119999999997,1.1466195000000001
12,-0.02,1.1610915,1.1872490000000002,1.144737,1.144737,1.1700204999999997,1.1466195000000001
13,-0.01,1.1610915,1.1872490000000002,1.144737,1.144737,1.1795265000000001,1.1466195000000001
14,0.0,1.1610915,1.1872490000000002,1.144737,1.144737,1.1872490000000002,1.1466195000000001
15,0.01,1.1610915,1.1872490000000002,1.144737,1.144737,1.1466195000000001,1.1466195000000001
16,0.02,1.1610915,1.1872490000000002,1.144737,1.144737,1.1466195000000001,1.1466195000000001
17,0.03,1.1610915,1.1872490000000002,1.144737,1.144737,1.1466195000000001,1.1466195000000001
18,0.04,1.1610915,1.1872490000000002,1.1445842105263158,1.1445842105263158,1.1479847368421054,1.1479847368421054
19,0.05,1.1610915,1.1872490000000002,1.1445394117647059,1.1445394117647059,1.1506600000000002,1.1506600000000002
20,0.06,1.1610915,1.1872490000000002,1.138582,1.138582,1.1500160000000001,1.1500160000000001
21,0.07,1.1610915,1.1872490000000002,1.138582,1.138582,1.1500160000000001,1.1500160000000001
22,0.08,1.1610915,1.1872490000000002,1.1455125000000002,1.1455125000000002,1.1661199999999998,1.1661199999999998
23,0.09,1.1610915,1.1872490000000002,1.133662857142857,1.133662857142857,1.1704828571428574,1.1704828571428574
24,0.1,1.1610915,1.1872490000000002,1.0984125,1.0984125,1.1675325,1.1675325
25,0.11,1.1610915,1.1872490000000002,1.085885,1.085885,1.183005,1.183005
26,0.12,1.1610915,1.1872490000000002,1.07988,1.07988,1.1916200000000001,1.1916200000000001
